ACU	ACURA
ACUAA	ACURA CL
ACUAB	ACURA NSX
ACUAC	ACURA RL
ACUAD	ACURA SLX
ACUAE	ACURA INTEGRA
ACUAF	ACURA LEGEND 
ACUAG	ACURA TL 
ACUAH	ACURA VIGOR 
ACUAI	ACURA MDX
ACUAJ	ACURA RSX
ACUXX	ACURA unspecified
AUD	AUDI 
AUDAA	AUDI 80
AUDAB	AUDI 90
AUDAC	AUDI 100 
AUDAD	AUDI 200
AUDAE	AUDI 4000
AUDAF	AUDI 5000
AUDAG	AUDI A4
AUDAH	AUDI A6
AUDAI	AUDI A8
AUDAJ	AUDI CABRIOLET
AUDAK	AUDI FOX 
AUDAL	AUDI GT
AUDAM	AUDI QUATTRO
AUDAN	AUDI S4
AUDAO	AUDI S6
AUDAP	AUDI TT
AUDAQ	AUDI S8
AUDXX	AUDI unspecified
BMW	BMW 
BMWAA	BMW 3-SERIES
BMWAB	BMW 5-SERIES
BMWAC	BMW 6-SERIES
BMWAD	BMW 7-SERIES
BMWAE	BMW 8-SERIES
BMWAF	BMW L6
BMWAG	BMW L7
BMWAH	BMW M3
BMWAI	BMW M5
BMWAJ	BMW M6
BMWAK	BMW Z3
BMWAL	BMW Z4
BMWAM	BMW X5
BMWXX	BMW unspecified
BUI	BUICK 
BUIAA	BUICK CENTURY 
BUIAB	BUICK ELECTRA 
BUIAC	BUICK ESTATE
BUIAD	BUICK LESABRE
BUIAE	BUICK PARK AVENUE
BUIAF	BUICK REATTA
BUIAG	BUICK REGAL
BUIAH	BUICK RIVIERA
BUIAI	BUICK ROADMASTER
BUIAJ	BUICK SKYHAWK
BUIAK	BUICK SKYLARK
BUIAL	BUICK SOMERSET
BUIAM	BUICK RENDEZVOUS
BUIXX	BUICK unspecified
CAD	CADILLAC 
CADAA	CADILLAC ALLANTE
CADAB	CADILLAC BROUGHAM
CADAC	CADILLAC CATERA
CADAD	CADILLAC CIMARRON
CADAE	CADILLAC DEVILLE
CADAF	CADILLAC ELDORADO
CADAG	CADILLAC ESCALADE
CADAH	CADILLAC FLEETWOOD
CADAI	CADILLAC SEVILLE
CADAJ	CADILLAC SIXTY SPECIAL
CADAK	CADILLAC XLR
CADAL	CADILLAC CTS
CADXX	CADILLAC unspecified
CHE	CHEVROLET 
CHEAA	CHEVROLET APV
CHEAB	CHEVROLET ASTRO
CHEAC	CHEVROLET BERETTA
CHEAD	CHEVROLET BLAZER
CHEAE	CHEVROLET CAMARO
CHEAF	CHEVROLET CAPRICE
CHEAG	CHEVROLET CAVALIER
CHEAH	CHEVROLET CELEBRITY
CHEAI	CHEVROLET CHEVETTE
CHEAJ	CHEVROLET CITATION
